NAME,PARTY,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q9,Q10,Q11,Q12,Q13
三津＝丈夫,2,5,5,4,5,5,3,4,5,5,5,5,1,3,5,5,1,3,5,5,2,3,3,1,5,5,5,5,5,5,5,5,5,4
畑中＝庸助,6,5,5,5,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,5,1,3,5,1,4,4,1,5,5,5,5,5,5,4
武部＝新,1,1,2,2,2,3,1,1,3,2,1,2,5,2,1,1,5,2,2,3,3,3,2,4,4,3,2,3,1,1,1,2,2,2
水上＝美華,2,3,3,3,5,4,3,4,3,3,4,4,2,3,4,4,2,2,3,3,3,3,5,3,5,5,1,3,3,5,5,5,5,2
菅原＝誠,6,4,4,4,5,4,3,4,5,5,5,4,2,4,4,5,2,3,5,4,2,2,3,1,4,4,2,4,5,5,5,4,4,4
津島＝淳,1,4,5,2,3,5,2,2,2,2,2,2,4,4,1,1,4,1,4,4,2,1,4,5,5,4,2,4,1,2,2,4,4,2
升田＝世喜男,3,2,3,2,2,3,3,3,2,3,1,3,4,3,2,2,4,4,2,5,3,2,2,3,5,3,2,3,2,3,2,5,4,3
吉俣＝洋,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
江渡＝聡徳,1,1,3,3,3,4,6,2,2,2,2,2,5,4,1,1,5,3,1,3,3,3,1,5,3,4,3,3,1,1,1,4,2,2
中野渡＝詔子,3,1,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,4,3,2,3,4,3,3,4,3,3,3,5,5,5,5,3
小笠原＝良子,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
大島＝理森,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
田名部＝匡代,2,2,3,2,4,4,3,3,2,3,4,4,3,3,1,2,1,2,2,5,2,1,5,4,3,4,1,3,2,4,5,5,5,5
松橋＝三夫,6,5,5,5,5,5,3,3,5,5,5,5,1,4,5,5,1,3,3,3,2,3,4,1,5,3,1,5,5,5,5,5,5,4
木村＝太郎,1,1,3,3,2,3,2,2,2,2,2,3,5,3,1,1,5,3,3,3,3,3,2,3,3,4,3,3,1,1,1,3,2,2
山内＝崇,2,2,4,2,5,4,2,2,3,2,2,5,2,3,2,2,2,2,2,4,4,2,4,4,4,4,1,4,4,4,5,4,4,3
千葉＝浩規,6,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,5,5,5,5,4
高橋＝比奈子,1,3,3,3,2,4,2,3,2,2,3,3,3,3,2,3,4,1,3,3,3,3,3,3,3,3,1,2,1,1,2,2,2,2
階＝猛,2,3,4,3,5,4,3,4,2,4,5,4,3,3,3,3,2,2,3,4,3,2,4,3,4,4,2,4,4,5,5,4,5,5
吉田＝恭子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
鈴木＝俊一,1,1,2,3,1,3,2,2,3,2,2,3,3,2,1,2,3,4,2,3,3,2,1,3,4,3,2,3,1,1,1,3,2,2
久保＝幸男,6,5,5,4,5,5,2,3,5,5,5,5,1,3,2,5,2,2,4,5,1,2,5,1,5,5,2,4,5,5,5,5,5,4
橋本＝英教,1,1,3,2,3,4,2,2,3,2,1,3,4,3,2,1,3,3,2,3,3,4,4,5,5,4,3,2,2,1,1,2,1,2
黄川田＝徹,2,4,5,3,4,4,3,3,2,4,4,4,2,3,3,3,3,3,3,4,2,3,3,3,4,3,4,3,2,5,5,4,3,2
菊池＝幸夫,6,5,5,5,5,5,2,1,5,5,5,5,1,4,4,5,1,2,5,5,1,3,5,1,5,5,4,5,5,5,5,5,5,4
藤原＝崇,1,1,6,2,2,4,2,2,6,4,2,5,5,2,2,2,5,5,2,6,6,6,3,6,6,4,5,2,1,2,2,6,6,2
高橋＝綱記,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
土井＝亨,1,2,4,3,2,2,2,1,2,2,3,3,5,3,1,2,2,3,3,3,3,2,3,3,2,3,3,3,1,2,2,4,3,2
郡＝和子,2,3,5,3,5,4,4,4,3,4,4,5,2,2,3,3,1,1,3,4,3,3,5,3,5,4,1,3,1,4,5,5,5,2
松井＝秀明,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,2,2,5,5,5,5,5,5,4
林＝宙紀,3,2,2,4,3,4,4,4,4,2,3,3,4,2,3,5,2,3,3,2,4,1,4,2,4,4,2,2,1,5,4,4,4,5
増元＝照明,5,1,1,1,1,3,2,4,2,1,2,3,5,5,1,3,4,4,2,3,3,3,1,4,3,4,3,2,1,2,1,3,4,5
秋葉＝賢也,1,1,3,3,3,3,2,2,3,2,2,2,5,3,2,2,4,3,2,2,2,3,3,5,4,4,3,2,1,2,1,3,2,2
大内＝真理,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
西村＝明宏,1,2,3,2,2,4,2,2,3,2,1,3,4,3,2,3,5,3,3,3,3,3,3,3,3,4,3,3,2,2,2,4,2,2
橋本＝清仁,2,2,3,3,5,4,3,4,3,3,3,4,3,3,3,4,2,2,3,3,3,3,5,2,5,5,1,3,3,5,5,5,5,2
吉田＝剛,6,5,5,5,5,5,1,2,5,5,5,5,2,3,4,5,1,2,5,4,2,3,5,1,5,3,2,5,5,5,5,5,5,4
伊藤＝信太郎,1,3,3,3,2,4,2,2,2,2,2,4,4,4,2,3,3,2,3,3,2,2,4,3,4,4,2,4,2,2,2,3,2,2
井戸＝正枝,2,3,5,3,5,5,2,4,3,4,5,5,2,5,5,4,1,1,3,4,3,1,5,2,4,3,4,3,4,5,5,5,5,3
小高＝洋,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,4,2,5,5,5,5,5,5,4
勝沼＝栄明,1,1,3,3,6,3,1,2,2,2,1,3,5,5,1,1,5,3,6,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
安住＝淳,2,2,3,2,4,4,3,4,3,4,3,3,3,2,3,3,2,2,2,3,3,2,3,4,4,5,1,2,2,4,4,4,4,1
高村＝直也,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
小野寺＝五典,1,1,3,3,3,3,2,2,2,2,3,5,5,5,1,2,3,2,2,3,3,3,3,4,3,4,2,3,1,1,1,4,2,2
鎌田＝さゆり,2,4,4,3,5,3,2,2,4,4,5,5,3,3,3,5,3,3,3,3,3,2,5,2,4,4,2,4,5,5,5,4,4,4
内藤＝隆司,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
冨樫＝博之,1,1,3,3,2,3,1,2,2,2,1,1,5,5,1,1,5,2,1,3,3,3,2,4,3,4,3,3,1,1,1,4,2,2
寺田＝学,2,2,3,4,5,5,4,4,1,4,3,4,4,4,4,4,1,3,2,4,4,2,5,2,5,5,1,2,1,3,5,4,4,2
山内＝梅良,6,5,5,5,5,5,2,3,5,5,5,5,1,3,5,5,1,2,5,5,1,1,4,1,5,5,3,5,5,5,5,5,5,4
金田＝勝年,1,1,3,3,2,4,1,2,2,2,1,3,5,5,1,1,3,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
緑川＝貴士,2,4,5,4,3,4,4,3,2,5,5,2,2,4,2,5,3,3,4,4,2,3,2,2,4,5,1,2,3,4,4,4,4,2
藤本＝金治,6,5,5,5,5,3,3,5,5,5,5,5,1,2,5,5,1,1,5,5,1,2,3,1,5,5,5,5,5,5,5,5,5,4
御法川＝信英,1,2,3,3,3,4,2,2,2,3,3,3,4,3,2,3,3,4,2,2,3,2,3,3,3,3,4,4,1,2,2,3,2,2
村岡＝敏英,3,2,3,2,2,3,3,3,4,2,1,4,4,4,3,5,4,2,2,3,4,2,3,2,5,4,1,1,1,4,5,5,5,3
我妻＝桂子,6,5,5,3,5,5,1,3,5,5,5,5,2,3,4,5,1,2,5,5,1,2,4,1,5,4,2,5,5,5,5,5,5,4
遠藤＝利明,1,3,3,3,2,4,2,3,2,3,4,4,4,3,3,2,4,3,3,3,3,2,2,4,3,4,2,4,1,2,2,2,2,2
原田＝和広,2,3,3,5,4,4,3,2,3,3,3,3,4,3,2,4,3,3,2,4,2,2,2,3,2,4,3,3,3,5,5,5,5,2
石川＝渉,6,5,5,5,5,5,2,3,5,5,5,5,2,3,3,5,1,1,5,4,1,2,4,1,5,4,2,4,5,5,5,5,4,4
鈴木＝憲和,1,2,3,2,3,4,1,2,2,2,2,4,3,2,1,2,3,2,2,3,2,1,3,3,4,4,2,4,1,2,1,2,2,2
近藤＝洋介,2,3,3,3,4,3,3,2,3,4,5,3,3,3,4,2,3,3,3,3,4,3,4,3,4,3,3,2,2,5,5,5,5,5
白根沢＝澄子,6,5,5,5,5,5,4,4,5,5,5,4,1,4,4,5,1,2,5,5,1,1,4,1,5,5,3,5,5,5,5,5,5,4
加藤＝鮎子,1,4,5,4,4,3,1,2,1,2,5,4,4,2,1,5,4,2,3,4,4,3,2,1,4,4,2,2,1,2,4,3,2,2
吉田＝大成,2,4,4,4,5,3,4,4,4,5,3,4,3,3,3,4,2,2,3,4,3,2,5,3,5,4,1,1,2,4,5,4,4,2
長谷川＝剛,6,5,5,5,5,5,4,4,5,5,5,4,1,4,4,5,1,2,5,5,1,1,4,1,5,5,3,5,5,5,5,5,5,4
亀岡＝偉民,1,2,3,3,3,3,2,3,2,3,3,2,4,3,1,3,5,3,3,2,3,3,3,4,4,4,1,3,6,2,2,4,3,2
金子＝恵美,2,3,3,3,4,4,3,3,4,3,3,3,3,3,3,5,2,2,2,4,3,3,3,1,3,3,2,3,4,4,4,3,3,3
渡部＝保子,6,5,5,5,5,5,3,4,5,5,5,5,1,3,3,5,1,1,5,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
根本＝匠,1,1,3,3,1,3,1,2,3,2,4,3,5,5,1,1,5,3,3,3,2,3,2,4,3,3,4,3,1,1,1,4,2,2
岡部＝光規,2,4,3,3,3,2,2,2,2,2,4,3,3,3,2,2,2,2,1,4,2,3,2,4,1,4,1,3,2,3,4,4,4,1
平＝善彦,6,5,5,3,5,5,2,3,5,5,5,5,1,5,3,5,1,2,5,5,1,3,5,1,5,5,1,5,5,5,5,5,5,4
上杉＝謙太郎,1,3,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,3,2,3,3,3,3,3,2,2,1,1,1,2,2,2
玄葉＝光一郎,2,1,6,6,5,3,3,3,2,3,4,2,4,2,1,3,2,2,2,4,4,2,3,2,5,4,2,2,2,3,3,3,3,5
横田＝洋子,6,5,5,5,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,5,1,2,5,1,5,4,2,5,5,5,5,5,5,4
菅家＝一郎,1,3,3,3,3,3,2,2,3,2,3,3,4,3,2,3,3,2,4,3,2,3,2,2,4,4,1,3,2,2,2,4,3,3
小熊＝慎司,3,3,3,3,3,2,3,4,3,2,2,3,4,4,2,4,4,4,2,3,4,3,3,2,3,4,2,2,1,4,3,4,5,3
田中＝和加子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,5,1,2,4,1,5,4,2,5,5,5,5,5,5,4
吉田＝泉,2,2,3,3,3,4,4,4,2,3,3,3,4,2,2,2,3,3,3,4,4,2,3,3,4,4,2,2,2,3,2,3,3,1
吉野＝正芳,1,4,4,2,3,4,3,2,4,3,5,5,5,5,2,3,3,4,1,5,1,2,3,2,4,4,4,2,2,2,2,4,2,1
吉田＝英策,6,5,5,5,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
田所＝嘉徳,1,2,3,3,6,4,2,2,3,3,3,3,5,5,1,6,5,3,3,3,2,3,1,6,3,4,3,3,1,2,1,3,2,2
福島＝伸享,2,2,2,2,3,4,4,3,4,2,2,4,3,4,3,2,4,4,5,3,3,3,3,4,4,4,2,2,1,4,3,4,4,5
大内＝久美子,6,5,5,4,5,5,3,4,5,5,5,5,1,3,3,5,1,3,5,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
額賀＝福志郎,1,2,3,2,4,4,4,2,2,2,2,2,4,2,1,2,2,4,1,2,4,3,2,4,3,4,2,2,1,1,2,2,2,2
川井＝宏子,6,5,5,4,5,5,3,4,5,5,5,5,1,3,3,5,1,3,5,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
葉梨＝康弘,1,2,2,3,2,3,2,3,2,3,3,3,5,2,2,2,4,2,2,2,4,2,2,3,4,4,3,2,1,2,2,2,2,2
石井＝章,3,2,3,2,4,2,3,3,2,2,1,4,3,4,3,5,3,2,1,3,4,2,3,2,5,4,1,1,1,4,5,5,5,3
小林＝恭子,6,5,5,5,5,5,4,5,5,5,5,5,1,3,5,5,1,3,5,5,1,2,2,1,5,5,1,5,5,5,5,5,4,4
梶山＝弘志,1,1,3,2,2,4,2,2,2,2,4,3,5,3,1,2,5,3,2,3,3,2,1,4,4,4,3,3,2,2,2,3,2,2
高野＝守,2,4,4,2,5,3,3,4,5,4,5,5,3,2,3,3,3,2,4,4,2,2,2,2,4,4,3,4,4,5,5,4,3,2
堀江＝鶴治,6,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,1,3,1,1,5,5,1,5,5,5,5,5,5,4
石川＝昭政,1,1,1,2,1,3,2,2,2,3,2,2,5,4,1,2,4,4,3,2,2,2,2,5,1,2,4,5,1,1,1,2,2,3
大畠＝章宏,2,3,3,3,5,5,2,3,2,3,5,4,2,3,2,3,3,1,2,4,3,2,3,3,5,5,1,5,2,5,5,4,4,3
福田＝明,6,5,5,5,5,5,3,4,5,5,5,5,1,3,3,5,1,3,5,5,1,2,5,1,5,5,1,5,6,5,5,5,5,4
丹羽＝雄哉,1,2,3,3,3,3,2,2,2,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,2,1,4,2,2
青山＝大人,2,2,4,4,3,6,2,2,4,3,4,4,3,3,2,3,2,3,2,4,3,2,3,3,3,2,2,4,2,3,3,4,4,2
井上＝圭一,6,5,5,5,5,5,3,4,5,5,5,5,1,3,3,5,1,3,5,5,1,2,4,1,5,5,1,5,5,5,5,4,4,4
永岡＝桂子,1,2,4,3,2,3,2,2,2,2,2,3,5,4,2,2,5,2,2,3,3,3,1,4,4,3,3,3,1,1,1,3,2,2
白畑＝勇,6,5,5,5,5,5,2,2,5,5,5,5,1,2,4,5,1,2,4,4,1,3,5,1,5,3,1,5,5,5,5,5,4,4
船田＝元,1,2,3,3,3,4,2,2,3,2,4,3,4,2,2,2,3,2,1,3,3,2,2,4,4,4,2,2,1,2,1,2,1,2
柏倉＝祐司,2,3,3,3,4,4,3,3,3,3,3,5,3,3,3,3,3,3,3,4,2,3,4,3,4,3,2,4,3,3,3,4,5,3
野村＝節子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,4,2,5,5,5,5,5,5,4
西川＝公也,1,2,3,3,3,3,2,2,3,2,3,3,4,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2
福田＝昭夫,2,3,3,3,5,5,3,1,4,5,5,5,5,2,2,5,1,1,3,5,2,3,2,1,5,2,2,3,2,5,5,5,5,5
阿部＝秀実,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,4,2,5,5,5,5,5,5,4
簗＝和生,1,1,5,2,2,3,2,2,4,2,4,3,5,3,1,1,5,2,1,3,3,2,2,4,3,3,1,1,1,2,2,4,2,5
秋山＝幸子,6,5,5,4,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,4,2,4,5,5,5,5,5,4
佐藤＝勉,1,1,3,3,3,3,1,1,3,2,2,2,5,5,2,1,5,3,3,3,3,3,2,4,3,4,3,3,1,1,1,4,2,2
藤岡＝隆雄,2,2,3,2,2,3,3,4,4,2,2,4,5,3,2,4,5,2,2,3,4,2,3,2,5,4,6,2,2,4,4,5,5,5
山崎＝寿彦,6,5,5,5,5,4,3,3,5,5,5,5,1,3,5,5,1,2,5,5,2,3,4,1,5,4,2,5,5,5,5,5,5,4
茂木＝敏充,1,1,3,3,3,3,2,2,2,2,2,3,5,4,1,1,3,3,2,3,4,3,2,4,3,4,3,3,1,1,1,3,2,2
川上＝均,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
佐田＝玄一郎,1,2,3,4,3,4,1,2,3,2,2,3,3,2,2,2,4,2,2,3,1,3,3,4,4,4,2,4,2,2,2,4,2,2
宮崎＝岳志,2,3,4,2,5,4,3,4,2,4,2,4,4,4,4,3,3,4,2,4,2,3,4,3,4,1,3,2,4,4,4,4,4,3
店橋＝世津子,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,5,1,3,4,1,5,4,2,5,5,5,5,5,4,4
井野＝俊郎,1,2,2,3,3,3,2,2,3,2,2,2,4,3,2,2,2,2,3,3,1,3,3,4,4,4,2,2,2,2,2,4,2,2
石関＝貴史,3,1,2,3,3,2,3,3,1,2,1,3,5,1,1,4,5,4,4,4,4,2,2,2,4,4,2,2,1,4,5,5,5,3
藤掛＝順恒,6,5,5,5,5,5,2,2,5,5,5,5,3,3,3,5,1,1,4,5,2,3,3,1,4,3,1,5,5,5,5,5,5,4
笹川＝博義,1,1,3,3,3,3,2,2,2,2,2,4,5,5,1,2,4,3,4,3,3,3,2,4,3,3,3,3,1,1,2,4,2,3
長谷川＝嘉一,2,3,3,3,4,3,3,3,3,2,5,5,4,4,1,5,5,2,3,3,3,2,2,2,2,4,3,2,4,5,4,5,4,4
渋沢＝哲男,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
福田＝達夫,1,3,4,3,4,3,3,2,1,2,3,3,4,3,2,2,3,2,2,6,6,6,3,4,4,5,4,3,1,2,2,2,2,2
萩原＝貞夫,6,5,5,4,5,5,2,3,5,5,5,5,1,3,5,5,1,3,4,5,1,2,5,1,5,3,2,5,5,5,5,5,5,4
小渕＝優子,1,2,3,3,3,3,1,2,2,2,1,3,4,3,1,1,3,3,2,3,3,3,3,4,3,4,4,3,2,1,2,4,2,2
糸井＝洋,6,5,5,3,5,5,2,3,5,5,5,5,2,3,3,5,1,2,4,5,1,2,4,1,5,3,2,5,5,5,5,5,5,4
村井＝英樹,1,2,3,3,3,3,3,2,2,2,2,3,4,3,2,2,3,2,2,3,4,3,3,3,3,4,3,2,2,3,2,4,4,2
武正＝公一,2,3,2,2,6,3,2,4,2,3,4,2,3,2,3,2,2,2,2,3,4,2,2,4,4,5,2,3,2,3,4,4,4,2
松村＝敏夫,6,5,5,5,5,5,1,3,5,5,5,5,1,3,5,5,1,1,5,3,2,3,3,1,5,3,2,5,5,5,5,5,5,4
新藤＝義孝,1,1,2,2,2,3,3,3,3,2,3,2,5,3,1,2,3,3,3,3,3,3,3,4,2,2,3,2,1,1,1,2,1,2
奥田＝智子,6,5,5,4,5,4,3,4,5,5,5,5,2,3,5,5,1,2,5,5,1,1,3,1,5,4,1,5,5,5,5,5,5,4
黄川田＝仁志,1,1,1,1,1,3,2,2,3,3,4,4,5,5,1,1,5,2,2,3,3,3,4,5,4,3,3,2,1,1,1,2,3,2
細川＝律夫,2,3,4,3,4,5,3,4,5,4,5,5,3,3,2,4,2,1,4,4,1,2,3,2,5,5,1,4,4,5,5,5,5,3
宮川＝雅之,6,5,5,3,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,5,1,3,4,1,4,3,2,5,5,5,5,5,5,4
豊田＝真由子,1,1,3,3,2,3,1,2,3,3,3,3,5,4,1,2,5,3,3,3,3,3,3,4,3,4,3,3,2,2,2,4,2,2
神風＝英男,2,1,2,2,3,3,3,2,2,2,3,3,4,2,2,3,3,2,2,4,4,2,3,3,5,4,2,2,2,3,3,4,5,2
桜井＝晴子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
牧原＝秀樹,1,2,3,3,3,3,2,3,3,1,3,3,4,2,2,3,4,3,3,2,4,2,3,4,3,4,3,3,3,3,2,2,4,2
枝野＝幸男,2,2,5,1,4,4,5,4,2,4,5,4,3,4,3,3,1,2,3,4,4,2,5,2,5,5,1,4,3,5,5,5,5,3
山本＝悠子,6,5,5,5,5,5,4,5,5,5,5,5,1,4,5,5,1,3,5,5,1,3,5,1,5,5,1,5,5,5,5,5,5,4
中根＝一幸,1,2,3,4,3,4,2,2,2,3,2,4,5,2,1,2,4,2,4,2,3,3,2,5,5,3,3,2,2,1,2,2,2,2
大島＝敦,2,3,3,1,5,4,4,4,3,3,5,3,5,5,1,3,3,3,3,3,2,4,3,3,2,5,2,2,2,5,5,5,5,2
戸口＝佐一,6,5,5,5,5,5,3,1,5,5,5,5,2,4,5,5,1,2,5,5,1,3,5,1,5,4,2,5,5,5,5,5,5,4
神山＝佐市,1,2,3,3,3,3,1,2,3,2,3,2,5,2,1,1,3,3,3,3,3,3,3,4,3,3,3,3,1,2,2,2,2,2
小宮山＝泰子,2,2,3,2,5,4,2,2,3,3,3,3,5,4,3,5,2,3,3,4,3,2,4,2,4,2,2,4,2,5,5,5,5,4
根本＝千裕,5,2,2,2,3,2,3,3,5,2,2,2,5,4,1,4,4,4,1,2,4,1,2,3,4,4,4,3,1,2,2,2,2,3
長沼＝チネ,6,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,3,3,5,2,2,3,1,5,4,2,5,5,5,5,5,5,4
柴山＝昌彦,1,2,3,2,3,3,2,3,3,1,2,2,4,2,1,3,4,2,2,2,4,2,3,3,4,4,4,2,1,1,1,3,4,2
小野塚＝勝俊,2,3,3,2,4,4,4,4,3,2,4,4,4,3,3,4,2,2,2,3,3,3,4,3,4,4,2,3,2,4,4,5,5,2
辻＝源巳,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,5,1,2,4,1,5,3,2,5,5,5,5,5,5,4
大塚＝拓,1,1,3,3,1,3,1,2,1,1,2,3,5,6,1,1,6,2,3,3,4,3,3,4,3,3,6,3,1,1,1,4,2,2
青柳＝仁士,3,1,2,3,1,1,5,5,5,1,1,1,5,2,2,2,3,3,2,2,5,2,3,4,4,5,1,1,1,2,2,2,2,4
広森＝すみ子,6,5,5,5,5,5,3,3,5,5,5,5,1,3,5,5,1,1,5,5,1,2,4,1,5,5,1,4,5,5,5,5,5,4
山口＝泰明,1,2,3,2,1,3,1,2,3,1,3,3,3,3,1,2,3,3,2,3,2,3,2,5,3,3,3,3,2,3,1,3,2,2
坂本＝祐之輔,3,2,3,3,4,2,4,5,2,2,3,3,4,3,1,5,3,3,2,3,4,2,3,1,2,4,2,1,1,2,4,4,3,3
石井＝祐一,6,5,5,5,5,5,2,2,5,5,5,2,1,4,5,5,1,5,3,5,2,1,4,1,5,5,2,5,5,5,5,5,5,4
今野＝智博,1,1,3,3,2,3,1,2,2,2,1,3,5,3,1,1,5,3,2,3,3,3,2,4,3,4,4,3,1,1,1,4,2,2
柴岡＝祐真,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
野中＝厚,1,1,3,3,2,3,1,2,2,2,2,3,5,3,1,1,5,3,3,3,3,3,2,4,3,3,3,3,1,1,1,4,4,2
本多＝平直,2,3,3,3,4,4,2,3,3,3,4,3,2,3,3,3,1,3,2,4,3,2,4,2,4,5,5,3,4,5,5,5,5,2
森田＝俊和,5,2,4,4,4,4,2,3,2,2,3,3,4,4,3,2,4,2,2,4,2,2,2,3,2,4,3,4,2,4,4,4,4,2
鈴木＝千賀子,6,5,5,5,5,5,3,3,5,5,5,5,1,3,4,5,1,2,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,4
山内＝康一,2,3,5,4,5,3,4,4,2,3,4,4,5,3,4,5,1,1,3,4,5,2,4,1,5,4,1,3,4,4,5,4,4,2
中村＝匡志,5,1,1,1,1,3,3,3,2,1,3,3,5,3,1,3,5,5,3,2,5,3,1,5,2,5,5,1,1,1,1,4,4,2
土屋＝品子,1,1,3,3,4,3,2,2,2,2,4,3,5,4,1,1,2,3,2,3,3,2,3,4,3,4,3,3,1,1,1,4,2,2
秋山＝文和,6,5,5,3,5,5,1,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
三ツ林＝裕巳,1,1,2,1,2,4,1,1,3,2,2,4,5,3,1,1,5,5,1,2,1,2,2,5,2,2,2,2,1,1,1,2,1,2
鈴木＝義弘,3,2,3,2,4,2,3,4,2,2,3,4,4,3,2,5,3,3,2,3,4,2,6,2,5,5,2,1,1,4,5,5,5,3
苗村＝光雄,6,5,5,5,5,5,2,4,5,5,5,5,1,2,4,5,2,2,5,5,1,2,3,1,5,5,1,5,5,5,5,5,5,4
田中＝良生,1,1,3,3,2,3,1,2,2,1,3,3,5,5,1,1,5,3,2,3,3,3,1,4,3,3,3,3,1,1,1,4,2,2
高山＝智司,2,3,3,3,4,3,4,4,1,3,2,5,4,2,3,3,1,2,3,2,5,2,5,2,5,5,3,1,3,5,5,4,3,2
田村＝勉,6,5,5,3,5,5,2,3,5,5,5,5,5,3,4,5,1,2,4,4,1,2,5,1,5,4,2,5,5,5,5,5,5,4
門山＝宏哲,1,1,3,3,3,3,3,2,2,2,2,3,4,3,1,2,4,2,2,3,3,3,2,4,3,4,3,3,1,2,1,3,2,2
田嶋＝要,2,2,3,3,5,3,4,3,2,2,3,2,4,3,2,3,3,3,2,3,4,2,4,2,5,4,2,1,3,5,5,5,5,3
田沼＝隆志,5,1,1,1,1,2,3,2,2,1,1,2,5,5,1,2,5,4,3,2,4,3,1,4,1,4,3,2,1,1,1,4,3,4
吉田＝直義,6,5,5,5,5,5,3,3,5,5,5,5,1,3,5,5,1,1,5,5,1,3,5,1,5,5,1,5,5,5,5,5,5,4
小林＝鷹之,1,1,6,2,6,6,6,6,1,6,6,6,5,6,1,1,6,2,6,1,4,3,2,4,4,5,3,2,1,1,1,3,2,2
藤巻＝健太,3,2,3,3,3,2,4,5,3,2,2,3,3,4,1,4,3,4,2,2,4,3,4,3,4,5,2,1,2,3,3,5,5,3
小松＝実,6,5,5,5,5,5,6,6,5,5,5,5,1,6,5,5,1,2,5,5,1,2,5,1,5,4,1,5,5,5,5,5,5,4
松野＝博一,1,2,2,2,2,4,2,2,2,3,2,2,5,3,2,1,5,2,2,3,2,3,3,4,4,4,2,2,1,1,1,3,2,2
青山＝明日香,2,2,3,4,4,4,2,4,2,3,4,4,3,3,6,3,3,2,4,4,3,2,4,4,4,4,2,2,4,4,5,4,4,2
椛沢＝洋平,6,5,4,5,5,5,4,4,5,5,5,4,4,3,4,5,1,3,5,5,2,2,2,1,5,4,2,5,5,5,5,5,4,4
